iter	Logloss
0	0.6917421506
1	0.6903107136
2	0.6889332631
3	0.6875407432
4	0.6861263104
5	0.68473904
6	0.6833283394
7	0.6819158532
8	0.6805556129
9	0.6791473548
10	0.6777208114
11	0.6763514407
12	0.6749758965
13	0.6736217476
14	0.6722184219
15	0.6707916561
16	0.6694054748
17	0.668064924
18	0.6666710752
19	0.6651982293
20	0.6638012431
21	0.662431052
22	0.6610824751
23	0.6596990251
24	0.658295046
25	0.6569675158
26	0.6555360054
27	0.6541739257
28	0.6528042938
29	0.6514597988
30	0.6500622168
31	0.6487195626
32	0.6473914648
33	0.6460037338
34	0.6446301652
35	0.6432698697
36	0.6419331475
37	0.6405636946
38	0.6392300928
39	0.6379241553
40	0.636605872
41	0.635283949
42	0.6339695528
43	0.6326495336
44	0.6313827085
45	0.6300929061
46	0.6288144253
47	0.6274813322
48	0.6261699909
49	0.6248041019
50	0.6235037763
51	0.6221542843
52	0.6208428152
53	0.6195271985
54	0.6182436208
55	0.6169383533
56	0.6156598553
57	0.6143840284
58	0.6130786605
59	0.6118294402
60	0.6105311113
61	0.609235812
62	0.6079666905
63	0.606728209
64	0.6054281067
65	0.604106798
66	0.602863344
67	0.6015510867
68	0.6002533484
69	0.5989926956
70	0.5977877407
71	0.5965662354
72	0.5952781615
73	0.5939986545
74	0.59276244
75	0.5914854434
76	0.5901957993
77	0.5889460653
78	0.5877147374
79	0.5865486911
80	0.5853554337
81	0.5841032935
82	0.5828713364
83	0.5816554092
84	0.5804509693
85	0.5792385956
86	0.578074708
87	0.5768770463
88	0.5756873989
89	0.5744778815
90	0.5733086535
91	0.5720691715
92	0.5708604662
93	0.5696568087
94	0.5684610974
95	0.5672716623
96	0.5661211974
97	0.5649205486
98	0.5637351389
99	0.5625635092
100	0.5613649055
101	0.5601732395
102	0.5590313193
103	0.5578644184
104	0.5567339352
105	0.5556246713
106	0.5544329424
107	0.5532532648
108	0.5520659775
109	0.550887303
110	0.5497869545
111	0.5485941064
112	0.5474321536
113	0.5462838149
114	0.5451031049
115	0.5439044602
116	0.5427694892
117	0.5416469429
118	0.5405174917
119	0.5393889487
120	0.5382710818
121	0.5371309779
122	0.5359973478
123	0.5348379003
124	0.5337117579
125	0.5326378209
126	0.5315051043
127	0.5303429282
128	0.5291871957
129	0.5280692491
130	0.5270060389
131	0.5258731895
132	0.5247501702
133	0.523650465
134	0.5225753331
135	0.5214459519
136	0.5203496186
137	0.5192677171
138	0.5181608226
139	0.5170734423
140	0.5159738802
141	0.5149150082
142	0.5138315392
143	0.5127905667
144	0.5117176935
145	0.5106927492
146	0.5096171782
147	0.5085392745
148	0.5074885411
149	0.5064260357
150	0.5053424057
151	0.504259228
152	0.5031481151
153	0.5021004979
154	0.5010305883
155	0.4999426793
156	0.4989093218
157	0.4978465727
158	0.4968019959
159	0.4957323819
160	0.494662766
161	0.4935952181
162	0.4925666303
163	0.4915528745
164	0.4905310748
165	0.4894943806
166	0.4884257044
167	0.4873562983
168	0.4863401379
169	0.4852855152
170	0.4842524305
171	0.4832743071
172	0.4822614061
173	0.4812257051
174	0.4802242764
175	0.4792278013
176	0.4781923669
177	0.4771607355
178	0.4761754207
179	0.4751541108
180	0.4741658372
181	0.4731932398
182	0.472188731
183	0.4711862263
184	0.4701826161
185	0.4691898679
186	0.46821411
187	0.4672362816
188	0.4662292358
189	0.4652700343
190	0.4642951676
191	0.4633342903
192	0.4623675502
193	0.4613880908
194	0.4604023984
195	0.459426681
196	0.4584471595
197	0.4574927263
198	0.4565215511
199	0.4555293591
02

