,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
53,53,0.8438433050068903,2024-08-01 08:48:09.902835,2024-08-01 08:48:10.328204,0 days 00:00:00.425369,0.526545442895566,7,0.8963211402610973,0.013691148976789084,3.5463209841635437,0.07216289443897464,4,47,132,COMPLETE
54,54,0.8447189366100138,2024-08-01 08:48:10.328704,2024-08-01 08:48:10.683702,0 days 00:00:00.354998,0.5590570972434915,6,0.8563915001905738,0.0025936900132560994,1.6112978731313312,0.04947663685020089,3,72,111,COMPLETE
55,55,0.8391206361966009,2024-08-01 08:48:10.684175,2024-08-01 08:48:11.178753,0 days 00:00:00.494578,0.47456572069357683,7,0.80659463575874,0.000591341103141392,0.059444291895744766,0.0016161926599210584,4,54,128,COMPLETE
56,56,0.8443744258153423,2024-08-01 08:48:11.179287,2024-08-01 08:48:11.523252,0 days 00:00:00.343965,0.5027608625219983,7,0.8493202229882725,0.2089352226187328,0.41448028174393947,0.02557625078010905,3,39,121,COMPLETE
57,57,0.8443851917776757,2024-08-01 08:48:11.523745,2024-08-01 08:48:11.980438,0 days 00:00:00.456693,0.5409023677163297,6,0.9628273987106833,0.0033314821521739247,1.6393697285889144,0.03847217057951199,4,60,138,COMPLETE
58,58,0.8424401412494258,2024-08-01 08:48:11.980906,2024-08-01 08:48:12.316850,0 days 00:00:00.335944,0.42291302417179655,5,0.9219991264025318,0.024585484159140993,8.322916112913832,0.07522744560601285,3,42,145,COMPLETE
59,59,0.8384567351860359,2024-08-01 08:48:12.317354,2024-08-01 08:48:12.826186,0 days 00:00:00.508832,0.44796492893948714,7,0.9389917880500186,0.010861010972686267,0.0004153145936179141,0.00021105606953070503,3,26,102,COMPLETE
60,60,0.8450347381717961,2024-08-01 08:48:12.826704,2024-08-01 08:48:14.186156,0 days 00:00:01.359452,0.8493727360598287,4,0.7613141916931333,2.337903228329874,3.651630263951244e-06,0.054058115070450774,12,34,60,COMPLETE
61,61,0.8472776469912724,2024-08-01 08:48:14.186653,2024-08-01 08:48:14.537220,0 days 00:00:00.350567,0.5200771341861378,7,0.945333174819217,0.008300421042601248,5.653254785843612,0.04692822012768872,3,50,136,COMPLETE
62,62,0.8433157728525493,2024-08-01 08:48:14.537718,2024-08-01 08:48:15.245871,0 days 00:00:00.708153,0.479871016960818,7,0.9951340894708095,0.004678876369667975,3.9778833648877807,0.024204453049880316,4,49,138,COMPLETE
