,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
10,10,0.8396912322002756,2024-08-01 08:38:56.866760,2024-08-01 08:38:57.022589,0 days 00:00:00.155829,1.8355572548462345e-08,0.40668797550717073,3.768801842936756e-08,7.703865186087422,0.090043801223023,9,7,0.8251517994386373,COMPLETE
11,11,0.8408862540192926,2024-08-01 08:38:57.023185,2024-08-01 08:38:57.176148,0 days 00:00:00.152963,6.21819699962789e-08,0.44127737317111965,1.1541218755577797e-07,6.132832683259936,0.06705167461118262,9,7,0.8355211593778508,COMPLETE
12,12,0.8382091180523656,2024-08-01 08:38:57.176621,2024-08-01 08:38:57.324463,0 days 00:00:00.147842,1.416193919879351e-08,0.5598961393550352,9.14862998778228,4.4873946616050056,0.02792370414993445,9,8,0.863879674609975,COMPLETE
13,13,0.8356647622875517,2024-08-01 08:38:57.324877,2024-08-01 08:38:57.486032,0 days 00:00:00.161155,2.593555407960129e-07,0.6763142198556065,9.629577250513696e-07,0.5297092344074072,0.02728025108262419,6,4,0.9901163339555211,COMPLETE
14,14,0.8377784795590262,2024-08-01 08:38:57.486510,2024-08-01 08:38:57.654945,0 days 00:00:00.168435,0.004181902470474925,0.4811268597508102,1.9834694739025434e-08,0.6175070375696141,0.026806882943605427,9,8,0.7247015446450689,COMPLETE
15,15,0.839145756775379,2024-08-01 08:38:57.655357,2024-08-01 08:38:57.806603,0 days 00:00:00.151246,1.9101873151957904e-07,0.7871132320919777,2.745007091573972e-06,0.0007223195653132416,0.0010739275268235682,5,4,0.9142175876171563,COMPLETE
16,16,0.8350188045475424,2024-08-01 08:38:57.807036,2024-08-01 08:38:57.976436,0 days 00:00:00.169400,0.016294018432321335,0.5973765878977262,2.720545216612673e-07,5.665522901405695e-07,0.0012408891645167034,8,3,0.7349764627960579,COMPLETE
17,17,0.8400034451079468,2024-08-01 08:38:57.976810,2024-08-01 08:38:58.143049,0 days 00:00:00.166239,6.668497594946291e-05,0.47720953472719335,1.3047315040903564e-08,0.4984602523580485,0.05007404963957187,11,7,0.8860801627975354,COMPLETE
18,18,0.8359303226917777,2024-08-01 08:38:58.144034,2024-08-01 08:38:58.296112,0 days 00:00:00.152078,3.2658655669282695e-06,0.6389013139776771,1.836164993043049e-05,8.397818479429102,0.019708516404254868,6,1,0.7877698375651185,COMPLETE
19,19,0.8394400264124944,2024-08-01 08:38:58.296513,2024-08-01 08:38:58.464611,0 days 00:00:00.168098,3.1865023333984646e-07,0.742616175739761,1.2517222138950936e-07,6.961417957123607e-05,0.0997624795611924,8,8,0.9339857222996747,COMPLETE
20,20,0.8396589343132752,2024-08-01 08:38:58.465028,2024-08-01 08:38:58.633878,0 days 00:00:00.168850,0.00022104575118117147,0.4786895558688632,1.973025685918968e-06,0.07898898271956789,0.046843148379556394,10,6,0.8372189383866108,COMPLETE
21,21,0.8403551332108405,2024-08-01 08:38:58.634263,2024-08-01 08:38:58.799655,0 days 00:00:00.165392,5.9308188559651314e-05,0.4880167303207136,1.25745233988167e-08,1.16911155012542,0.04302566898857349,12,7,0.8876560847273972,COMPLETE
22,22,0.8408718994028479,2024-08-01 08:38:58.800080,2024-08-01 08:38:58.962153,0 days 00:00:00.162073,6.154479418242266e-06,0.41422932107405197,1.000259754408464e-08,1.5561577688727655,0.044813813460300105,10,7,0.9612751500442162,COMPLETE
23,23,0.8348178399173174,2024-08-01 08:38:58.962652,2024-08-01 08:38:59.126438,0 days 00:00:00.163786,5.5254403916700467e-08,0.40023886320100854,1.4698615640634703e-08,1.1477249410596786,0.01438435377037052,12,7,0.7873196801566305,COMPLETE
24,24,0.8386612884703721,2024-08-01 08:38:59.126817,2024-08-01 08:38:59.287537,0 days 00:00:00.160720,9.098665271608183e-06,0.5169078329421859,5.4415612349897635e-08,1.5268540891031819,0.03965353298141199,11,9,0.8839137601902688,COMPLETE
