,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,state
27,27,0.8425657441433163,2024-08-01 09:05:03.362888,2024-08-01 09:05:14.961675,0 days 00:00:11.598787,75,0.277656655559421,0.30521438020695435,0.009849237211553626,62,323,COMPLETE
28,28,0.8419772048690859,2024-08-01 09:05:14.961976,2024-08-01 09:05:26.314776,0 days 00:00:11.352800,79,0.2736667802901028,0.31095776928645297,0.0041047004848557955,63,317,COMPLETE
29,29,0.8392713596692696,2024-08-01 09:05:26.315081,2024-08-01 09:05:37.339489,0 days 00:00:11.024408,103,0.3511822770038847,0.21556596317140417,0.007615168666307512,67,358,COMPLETE
30,30,0.8385966926963712,2024-08-01 09:05:37.339785,2024-08-01 09:05:48.541645,0 days 00:00:11.201860,89,0.281671406340613,0.2646933300538492,0.00617826267273149,35,255,COMPLETE
31,31,0.843793063849334,2024-08-01 09:05:48.541984,2024-08-01 09:05:59.748301,0 days 00:00:11.206317,75,0.2702103759438073,0.3117993215425271,0.009992972210617339,74,305,COMPLETE
32,32,0.8399029627928342,2024-08-01 09:05:59.748635,2024-08-01 09:06:11.060906,0 days 00:00:11.312271,71,0.24896326287596068,0.30416443840254254,0.009202655999586818,93,298,COMPLETE
33,33,0.8388550757923748,2024-08-01 09:06:11.061274,2024-08-01 09:06:22.657059,0 days 00:00:11.595785,78,0.3176605216295371,0.23728570895912837,0.00571699812138876,111,348,COMPLETE
34,34,0.8399316720257235,2024-08-01 09:06:22.657445,2024-08-01 09:06:34.010024,0 days 00:00:11.352579,69,0.2927078137331799,0.2806171321355719,0.0023632180981763293,156,294,COMPLETE
35,35,0.8412666513550758,2024-08-01 09:06:34.010395,2024-08-01 09:06:48.472349,0 days 00:00:14.461954,49,0.3881762491927578,0.346827839187509,0.006625723510920653,239,382,COMPLETE
36,36,0.8423504248966468,2024-08-01 09:06:48.472666,2024-08-01 09:06:59.688706,0 days 00:00:11.216040,89,0.26361205472419214,0.32964839907248156,0.0015628896588932276,55,260,COMPLETE
37,37,0.8401254593477262,2024-08-01 09:06:59.689019,2024-08-01 09:07:12.302634,0 days 00:00:12.613615,77,0.2811499440385437,0.3252359734874422,0.0015254873584231489,56,262,COMPLETE
38,38,0.8389699127239322,2024-08-01 09:07:12.302938,2024-08-01 09:07:22.872739,0 days 00:00:10.569801,85,0.2613419005154982,0.2990006833843721,0.009684482919119339,297,178,COMPLETE
39,39,0.8366731740927883,2024-08-01 09:07:22.873068,2024-08-01 09:07:33.795373,0 days 00:00:10.922305,90,0.22204726064496155,0.2803556200612566,0.0018033651928415996,33,282,COMPLETE
40,40,0.8381014584290307,2024-08-01 09:07:33.795713,2024-08-01 09:07:44.539758,0 days 00:00:10.744045,102,0.2682977259334925,0.33106917684589854,0.002982936916180454,374,244,COMPLETE
41,41,0.8394220831419384,2024-08-01 09:07:44.540137,2024-08-01 09:07:55.635362,0 days 00:00:11.095225,65,0.23618503583534906,0.35810946960605194,0.0011024266505524059,179,317,COMPLETE
42,42,0.8388981396417087,2024-08-01 09:07:55.635701,2024-08-01 09:08:07.537100,0 days 00:00:11.901399,74,0.22075746695806292,0.29263338330899763,0.00489569604948191,74,336,COMPLETE
43,43,0.842709290307763,2024-08-01 09:08:07.537464,2024-08-01 09:08:15.720601,0 days 00:00:08.183137,63,0.2902349265814624,0.41377322901700403,0.002629998532230953,116,412,COMPLETE
44,44,0.83711098989435,2024-08-01 09:08:15.721021,2024-08-01 09:08:24.048533,0 days 00:00:08.327512,63,0.31024633927635276,0.3888438857893631,0.002462256065321488,58,413,COMPLETE
45,45,0.840584807073955,2024-08-01 09:08:24.048866,2024-08-01 09:08:36.760538,0 days 00:00:12.711672,51,0.2938287244008271,0.42060577475341515,0.0035403168115995544,122,511,COMPLETE
46,46,0.8369602664216812,2024-08-01 09:08:36.760922,2024-08-01 09:08:47.835161,0 days 00:00:11.074239,72,0.33238008129070107,0.416650292479427,0.0016376214458094177,83,299,COMPLETE
47,47,0.8415752756086358,2024-08-01 09:08:47.835531,2024-08-01 09:08:59.317091,0 days 00:00:11.481560,81,0.43431419177375014,0.24761571874425958,0.0076051358561633085,44,428,COMPLETE
48,48,0.8399532039503903,2024-08-01 09:08:59.317441,2024-08-01 09:09:10.650017,0 days 00:00:11.332576,59,0.28427372355098735,0.4433277855110001,0.002769013540812714,159,220,COMPLETE
49,49,0.8380081534221406,2024-08-01 09:09:10.650403,2024-08-01 09:09:22.429475,0 days 00:00:11.779072,92,0.2616055819946197,0.3157262183857231,0.001185164117413653,194,479,COMPLETE
50,50,0.8377210610932476,2024-08-01 09:09:22.429795,2024-08-01 09:09:33.056855,0 days 00:00:10.627060,99,0.3648348908911958,0.351047534027045,0.0008067006511932301,472,146,COMPLETE
51,51,0.8390560404225998,2024-08-01 09:09:33.057213,2024-08-01 09:09:44.193013,0 days 00:00:11.135800,68,0.2539781107291635,0.4744462874756415,0.005050701521113027,97,380,COMPLETE
52,52,0.8370392168121268,2024-08-01 09:09:44.193365,2024-08-01 09:09:54.724091,0 days 00:00:10.530726,118,0.24758071757934233,0.3371695857451886,0.0034626227596380042,114,374,COMPLETE
53,53,0.8426734037666512,2024-08-01 09:09:54.724470,2024-08-01 09:10:07.540294,0 days 00:00:12.815824,35,0.30706223209456857,0.49813234687492836,0.001997919802670839,148,396,COMPLETE
54,54,0.8436423403766651,2024-08-01 09:10:07.540619,2024-08-01 09:10:21.361135,0 days 00:00:13.820516,33,0.30635679518097336,0.4412523111227332,0.004024910585246024,145,406,COMPLETE
55,55,0.8421351056499771,2024-08-01 09:10:21.361551,2024-08-01 09:10:35.644779,0 days 00:00:14.283228,33,0.3071824675707515,0.44184951706793424,0.0038903180816202286,148,417,COMPLETE
56,56,0.8418193040881948,2024-08-01 09:10:35.645160,2024-08-01 09:10:51.218212,0 days 00:00:15.573052,39,0.3302332217143071,0.4091042850418726,0.0075657318871905155,218,402,COMPLETE
57,57,0.8442882981166744,2024-08-01 09:10:51.218568,2024-08-01 09:11:04.518180,0 days 00:00:13.299612,39,0.29130927163992615,0.46852683521304467,0.002593499327361447,178,390,COMPLETE
58,58,0.8403120693615065,2024-08-01 09:11:04.518560,2024-08-01 09:11:17.028120,0 days 00:00:12.509560,39,0.3004956406281107,0.46575249305605454,0.0021387870672288597,132,458,COMPLETE
