,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
19,19,0.7968164794007491,2024-08-03 14:50:53.512047,2024-08-03 14:51:08.012355,0 days 00:00:14.500308,0.27064336072871803,87,9,0.002220664643826708,0.00021878163139533378,0.9472297151377977,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8304651497695852,COMPLETE
20,20,0.7968164794007491,2024-08-03 14:51:08.012684,2024-08-03 14:51:10.579470,0 days 00:00:02.566786,0.9846997515308912,246,5,0.08179967887947491,0.0006132999736700423,0.3566645441411995,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8337557603686637,COMPLETE
21,21,0.7968164794007491,2024-08-03 14:51:10.579794,2024-08-03 14:51:11.806028,0 days 00:00:01.226234,0.035594530646200356,173,3,9.32553420292129,0.00012210711350872013,0.8781646953047537,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8237219182027651,COMPLETE
22,22,0.8098365617433414,2024-08-03 14:51:11.806358,2024-08-03 14:51:16.328581,0 days 00:00:04.522223,0.06760703768830889,147,3,2.1039593551328464,0.00021783099047096923,0.5027360714481666,0.533175355450237,0.5230024213075061,0.3588039867109635,0.9642857142857143,0.8284418202764976,COMPLETE
23,23,0.6139542748917749,2024-08-03 14:51:16.328909,2024-08-03 14:51:18.395426,0 days 00:00:02.066517,0.11227427014779932,147,4,1.1031443169078006,0.0014544823096536421,0.1233886933310708,0.7819905213270142,0.6017316017316018,0.5840336134453782,0.6205357142857143,0.8287442396313364,COMPLETE
24,24,0.7968164794007491,2024-08-03 14:51:18.395751,2024-08-03 14:51:21.749863,0 days 00:00:03.354112,0.4345292160241698,196,6,0.41898930795030986,0.00023427407558430723,0.4398288258132996,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8313292050691244,COMPLETE
25,25,0.7968164794007491,2024-08-03 14:51:21.750181,2024-08-03 14:51:23.804836,0 days 00:00:02.054655,0.20962131414622248,147,4,0.13291312369710423,0.00036493539362318254,0.07388520258645763,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8255400345622119,COMPLETE
26,26,0.7968164794007491,2024-08-03 14:51:23.805160,2024-08-03 14:51:25.205469,0 days 00:00:01.400309,0.06642757310239707,126,3,2.209495783153574,0.00010826485412315505,0.3073169748327693,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8283698156682028,COMPLETE
27,27,0.4027961221470837,2024-08-03 14:51:25.205805,2024-08-03 14:51:29.064611,0 days 00:00:03.858806,0.31770746749566275,222,5,0.013254035882568961,0.007926995890660288,0.5156544948720694,0.7914691943127962,0.47928994082840237,0.7105263157894737,0.36160714285714285,0.8345118087557604,COMPLETE
28,28,0.7968164794007491,2024-08-03 14:51:29.064927,2024-08-03 14:51:31.213655,0 days 00:00:02.148728,0.15356879765206977,186,4,2.6280494822872815,0.00020108683586708947,0.15451104943406374,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8308323732718894,COMPLETE
29,29,0.7968164794007491,2024-08-03 14:51:31.213981,2024-08-03 14:51:53.911759,0 days 00:00:22.697778,0.6673515553088658,81,10,0.18516207371771531,0.0005794725533490759,0.08459930082258314,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8351886520737327,COMPLETE
30,30,0.7598032355575459,2024-08-03 14:51:53.912091,2024-08-03 14:52:13.815313,0 days 00:00:19.903222,0.25173384052480735,225,7,0.0031419180232941965,0.00018881653725770744,0.04400944796627148,0.6943127962085308,0.5956112852664577,0.45893719806763283,0.8482142857142857,0.8286218317972351,COMPLETE
31,31,0.7968164794007491,2024-08-03 14:52:13.815671,2024-08-03 14:52:15.251662,0 days 00:00:01.435991,0.0161955664182164,174,3,3.2120261533192043,0.00010778488795802723,0.8003643475002423,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8240243375576037,COMPLETE
32,32,0.7968164794007491,2024-08-03 14:52:15.252011,2024-08-03 14:52:18.392102,0 days 00:00:03.140091,0.10123954215684661,159,3,7.802781949463871,0.00016132304497088162,0.6241562951795714,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.826519297235023,COMPLETE
33,33,0.22956730769230768,2024-08-03 14:52:18.392449,2024-08-03 14:52:27.259619,0 days 00:00:08.867170,0.011039128342029879,113,3,1.7098964087408761,0.0009632442104697119,0.3344670038418872,0.7760663507109005,0.30769230769230765,0.8571428571428571,0.1875,0.8326828917050693,COMPLETE
34,34,0.7968164794007491,2024-08-03 14:52:27.259943,2024-08-03 14:52:29.028351,0 days 00:00:01.768408,0.09139843598354366,178,4,0.020125673451917722,0.0002891389915188794,0.014049763258602728,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8244383640552996,COMPLETE
35,35,0.46828920911528144,2024-08-03 14:52:29.028687,2024-08-03 14:52:45.136677,0 days 00:00:16.107990,0.16659936190755098,204,3,0.2802978708478701,0.0005415727707850439,0.6824402437394513,0.7902843601895735,0.5254691689008042,0.6577181208053692,0.4375,0.8326684907834101,COMPLETE
36,36,0.7968164794007491,2024-08-03 14:52:45.137074,2024-08-03 14:52:48.999659,0 days 00:00:03.862585,0.8167120806730545,150,5,2.692563580456509e-05,0.00015467159732725187,0.2145708313951149,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.830839573732719,COMPLETE
37,37,0.38529936186186187,2024-08-03 14:52:48.999987,2024-08-03 14:53:20.111348,0 days 00:00:31.111361,0.37968791126900864,63,8,4.839878828515986,0.0016152957546026856,0.45965371142226,0.7879146919431279,0.4624624624624625,0.7064220183486238,0.34375,0.8334389400921658,COMPLETE
38,38,0.7968164794007491,2024-08-03 14:53:20.111696,2024-08-03 14:53:41.196163,0 days 00:00:21.084467,0.5187975705335546,122,9,0.8095962923262388,0.00030168867150348746,0.6689650115987756,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8313508064516131,COMPLETE
39,39,0.7968164794007491,2024-08-03 14:53:41.196501,2024-08-03 14:53:44.047107,0 days 00:00:02.850606,0.4564576217787112,136,6,0.0008770495116206585,0.0007571976195449335,0.3815123376065397,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8340725806451613,COMPLETE
40,40,0.0,2024-08-03 14:53:44.047463,2024-08-03 14:54:00.889843,0 days 00:00:16.842380,0.0634583392438598,6,12,0.043590736626273566,0.05877499959970512,0.0043697406192919645,0.7345971563981043,0.0,0.0,0.0,0.8143361175115207,COMPLETE
41,41,0.7975070555032926,2024-08-03 14:54:00.890181,2024-08-03 14:54:04.780167,0 days 00:00:03.889986,0.11953728323020651,164,5,1.2492835721462956,0.0004133838383283023,0.20676920530821627,0.2713270142180095,0.42144873000940736,0.266984505363528,1.0,0.8321428571428573,COMPLETE
42,42,0.7968164794007491,2024-08-03 14:54:04.780536,2024-08-03 14:54:07.487638,0 days 00:00:02.707102,0.12019055689954672,159,4,1.562969762192132,0.00014626915106059335,0.9916747339222804,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8256552419354838,COMPLETE
43,43,0.42546672077922076,2024-08-03 14:54:07.487973,2024-08-03 14:54:18.696944,0 days 00:00:11.208971,0.20658019087832355,181,3,0.18146444190200192,0.0004182164204781352,0.5538942654506682,0.7890995260663507,0.49431818181818177,0.6796875,0.38839285714285715,0.8311203917050692,COMPLETE
