,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
19,19,0.0,2024-08-03 14:37:41.261048,2024-08-03 14:37:41.800078,0 days 00:00:00.539030,9.494152836372455e-07,0.8664810546799606,2.6033465563079018e-05,0.0003559510757664127,0.0006018772828743388,10,4,0.6685667007039602,0.7345971563981043,0.0,0.0,0.0,0.8170578917050692,COMPLETE
20,20,0.0,2024-08-03 14:37:41.800446,2024-08-03 14:37:42.319480,0 days 00:00:00.519034,1.3181100963342325e-08,0.980816228667067,0.000879349966439094,0.0005712733486856849,0.010723378079456765,11,6,0.7132605020442578,0.7345971563981043,0.0,0.0,0.0,0.8169930875576038,COMPLETE
21,21,0.5443667045057632,2024-08-03 14:37:42.319859,2024-08-03 14:37:42.741958,0 days 00:00:00.422099,0.00018205631119644488,0.8257678436011018,1.9303561601131377e-06,8.513688577745583e-08,0.09920935230002989,11,8,0.5741251199768734,0.7950236966824644,0.5770171149144254,0.6378378378378379,0.5267857142857143,0.830130328341014,COMPLETE
22,22,0.5351401501921063,2024-08-03 14:37:42.742352,2024-08-03 14:37:43.174019,0 days 00:00:00.431667,0.00011761054567282868,0.8388145649897591,9.590301851723445e-07,9.126382464779367e-08,0.09917012838954713,11,8,0.5973933875370474,0.7902843601895735,0.567237163814181,0.6270270270270271,0.5178571428571429,0.8246543778801846,COMPLETE
23,23,0.37886904761904766,2024-08-03 14:37:43.174417,2024-08-03 14:37:43.525212,0 days 00:00:00.350795,0.0001123239514185799,0.8324292213374006,1.2259131785551455e-07,7.904938510151572e-08,0.04429547901933889,9,8,0.5079188619062448,0.7819905213270142,0.45238095238095244,0.6785714285714286,0.3392857142857143,0.8263572868663596,COMPLETE
24,24,0.35529891304347827,2024-08-03 14:37:43.525607,2024-08-03 14:37:43.988906,0 days 00:00:00.463299,0.00023564622960035265,0.929176653316561,1.0031182500484497e-08,3.7789200298411567e-06,0.045210096041075946,11,9,0.7761328623876488,0.7843601895734598,0.43478260869565216,0.7142857142857143,0.3125,0.8208165322580645,COMPLETE
25,25,0.0,2024-08-03 14:37:43.989254,2024-08-03 14:37:44.327690,0 days 00:00:00.338436,0.004833529793799851,0.7020850254120214,1.744043522874499e-06,7.652856099481681e-05,0.01900702279597662,7,8,0.6762231458023754,0.7345971563981043,0.0,0.0,0.0,0.8233186923963134,COMPLETE
26,26,0.4371383679169992,2024-08-03 14:37:44.328042,2024-08-03 14:37:44.698723,0 days 00:00:00.370681,2.4687486677212073e-05,0.8428175916761924,2.2766594910522387e-05,5.293781029660401e-08,0.054509516616336184,10,9,0.566663044938385,0.7890995260663507,0.5027932960893855,0.6716417910447762,0.4017857142857143,0.8239415322580645,COMPLETE
27,27,0.5479888990267641,2024-08-03 14:37:44.699115,2024-08-03 14:37:45.138185,0 days 00:00:00.439070,1.276737703518472e-06,0.95069693271952,8.037870934376864e-08,0.0021680947818877518,0.09588642956176155,11,6,0.4587042885697523,0.7950236966824644,0.5790754257907543,0.6363636363636364,0.53125,0.8292374711981567,COMPLETE
28,28,0.0,2024-08-03 14:37:45.138635,2024-08-03 14:37:45.601488,0 days 00:00:00.462853,1.880366125795761e-06,0.9469647102296519,3.509975877455111e-08,0.0023133257752373064,0.0036616248475952484,9,4,0.4282920577468849,0.7345971563981043,0.0,0.0,0.0,0.8156466013824886,COMPLETE
29,29,0.2822778239202658,2024-08-03 14:37:45.602417,2024-08-03 14:37:46.030216,0 days 00:00:00.427799,2.0868684895872358e-07,0.8847739207531883,1.332690416917184e-07,0.006228503872109556,0.035011511656666876,10,6,0.471043583118689,0.7713270142180095,0.3588039867109635,0.7012987012987013,0.24107142857142858,0.8256408410138247,COMPLETE
30,30,0.0,2024-08-03 14:37:46.030629,2024-08-03 14:37:46.394602,0 days 00:00:00.363973,2.2781121335988445e-05,0.9534843604499856,4.8635815873972536e-08,0.041531497352195024,0.013238600998501299,7,5,0.5088809215051386,0.7345971563981043,0.0,0.0,0.0,0.8209965437788018,COMPLETE
31,31,0.5293110341151386,2024-08-03 14:37:46.394960,2024-08-03 14:37:46.816885,0 days 00:00:00.421925,0.0001733738286186905,0.8157741729767941,8.967158888114046e-07,6.835688099030886e-05,0.09320728235936382,11,8,0.5923311469075813,0.7938388625592417,0.5671641791044776,0.6404494382022472,0.5089285714285714,0.825100806451613,COMPLETE
32,32,0.46015742481203004,2024-08-03 14:37:46.817225,2024-08-03 14:37:47.348621,0 days 00:00:00.531396,5.238989994557676e-05,0.7394035396125361,4.365155385703355e-07,1.7449668222915716e-05,0.05779649663439781,11,3,0.46182708602302525,0.7796208530805687,0.5105263157894736,0.6217948717948718,0.4330357142857143,0.8100950460829492,COMPLETE
33,33,0.532742408557626,2024-08-03 14:37:47.349492,2024-08-03 14:37:47.868736,0 days 00:00:00.519244,1.0392467826134861e-05,0.8660999794330734,1.3324776492994278e-07,0.007328704090005843,0.09401360266330094,12,6,0.7353589007377268,0.7843601895734598,0.5603864734299516,0.6105263157894737,0.5178571428571429,0.825100806451613,COMPLETE
34,34,0.29674657534246573,2024-08-03 14:37:47.869096,2024-08-03 14:37:48.400591,0 days 00:00:00.531495,1.1307192107691589e-08,0.6559567900789984,2.903835861777983e-05,0.00014087507353503288,0.03009347185060525,10,3,0.5387310744505994,0.7867298578199052,0.3835616438356164,0.8235294117647058,0.25,0.8301051267281105,COMPLETE
35,35,0.4410183397683397,2024-08-03 14:37:48.400957,2024-08-03 14:37:48.970718,0 days 00:00:00.569761,1.7018107014826901e-06,0.9147122806901993,1.0822593435429358e-06,0.0009177406304050617,0.05696692355455635,11,5,0.8039775932231497,0.7796208530805687,0.49729729729729727,0.6301369863013698,0.4107142857142857,0.8154593894009217,COMPLETE
36,36,0.4249766036017807,2024-08-03 14:37:48.971083,2024-08-03 14:37:49.344502,0 days 00:00:00.373419,5.5751703628570044e-08,0.9663359427871103,1.1374048726041262e-08,1.7429772130413895e-06,0.05650996904251318,8,9,0.6702856970916772,0.7879146919431279,0.4929178470254958,0.6744186046511628,0.38839285714285715,0.8300079205069124,COMPLETE
37,37,0.5499423625083837,2024-08-03 14:37:49.345363,2024-08-03 14:37:49.878141,0 days 00:00:00.532778,0.0006290634396608506,0.8788535445622282,2.3459856486333113e-07,1.73968107810172e-05,0.09984204715774606,9,4,0.7586208217256003,0.7819905213270142,0.5680751173708921,0.599009900990099,0.5401785714285714,0.8213169642857143,COMPLETE
38,38,0.18847203504043125,2024-08-03 14:37:49.878559,2024-08-03 14:37:50.449357,0 days 00:00:00.570798,0.005157617672338338,0.904285009806504,8.795971673964967e-08,1.9330975931922616e-05,0.025653218010501955,9,4,0.7575763576789916,0.7665876777251185,0.25660377358490566,0.8292682926829268,0.15178571428571427,0.8169534850230415,COMPLETE
39,39,0.0,2024-08-03 14:37:50.449742,2024-08-03 14:37:50.699238,0 days 00:00:00.249496,0.14879080349207607,0.8715856838673488,2.7981145355622864e-07,0.00018411531997485222,0.004038309671676041,3,3,0.8278339286111938,0.7345971563981043,0.0,0.0,0.0,0.8159886232718894,COMPLETE
40,40,0.0,2024-08-03 14:37:50.699643,2024-08-03 14:37:51.242483,0 days 00:00:00.542840,0.000363871205410387,0.9336383150088707,2.7436511829630654e-07,0.026697358382000158,0.00189114753021845,8,2,0.8939512435756233,0.7345971563981043,0.0,0.0,0.0,0.8090149769585254,COMPLETE
41,41,0.5295691041014946,2024-08-03 14:37:51.243419,2024-08-03 14:37:51.791943,0 days 00:00:00.548524,3.748586602723943e-05,0.7981699540128747,9.509951326920673e-07,4.158439639547653e-08,0.09664772788832586,10,4,0.7363691427747179,0.7855450236966824,0.559610705596107,0.6149732620320856,0.5133928571428571,0.8142857142857143,COMPLETE
42,42,0.4824051193584483,2024-08-03 14:37:51.792354,2024-08-03 14:37:52.790083,0 days 00:00:00.997729,0.0005414374990727011,0.8484864315191111,2.4029527489553e-06,2.2566261712364538e-07,0.06446777509264508,9,5,0.6520009111674657,0.7879146919431279,0.5326370757180156,0.6415094339622641,0.45535714285714285,0.8224474366359448,COMPLETE
43,43,0.3109149604467194,2024-08-03 14:37:52.790600,2024-08-03 14:37:53.665099,0 days 00:00:00.874499,7.342016820987176e-06,0.7407516593223908,5.0815148271312584e-08,9.446849641707405e-06,0.037468736291335805,11,6,0.5247230153898372,0.7784360189573459,0.3908794788273615,0.7228915662650602,0.26785714285714285,0.8245823732718894,COMPLETE
44,44,0.48262459306779015,2024-08-03 14:37:53.665486,2024-08-03 14:37:54.100451,0 days 00:00:00.434965,0.001663762135688798,0.8962960243253802,1.7628093212892477e-05,2.621889530616423e-08,0.06902883746186561,12,10,0.6934813489097067,0.79739336492891,0.5415549597855228,0.6778523489932886,0.45089285714285715,0.8269513248847926,COMPLETE
45,45,0.0,2024-08-03 14:37:54.101382,2024-08-03 14:37:54.531001,0 days 00:00:00.429619,6.919797369369503e-05,0.8087965680701085,6.463948961031677e-05,0.0011661929889720327,0.005883380176351666,10,8,0.6185790596353224,0.7345971563981043,0.0,0.0,0.0,0.8216733870967743,COMPLETE
46,46,0.4923616305160808,2024-08-03 14:37:54.531371,2024-08-03 14:37:54.895498,0 days 00:00:00.364127,3.878517696933451e-06,0.850425144663646,9.854541830168898e-06,0.009433057213963703,0.06984233476370935,9,7,0.48671017523904253,0.7938388625592417,0.544502617801047,0.6582278481012658,0.4642857142857143,0.8248055875576038,COMPLETE
47,47,0.5363839285714286,2024-08-03 14:37:54.895888,2024-08-03 14:37:55.406560,0 days 00:00:00.510672,3.917983111368085e-07,0.9117018339298235,3.029678355949793e-07,1.0680395945100945e-08,0.09705694132207159,12,5,0.5758237346031312,0.7843601895734598,0.5625,0.609375,0.5223214285714286,0.8199056739631335,COMPLETE
48,48,0.39431569829424307,2024-08-03 14:37:55.406927,2024-08-03 14:37:56.040959,0 days 00:00:00.634032,4.3453052375846957e-07,0.9151702025138123,0.00031461926213160167,1.610304993239724e-08,0.043122931601624274,12,4,0.8072169697503342,0.7902843601895735,0.47164179104477616,0.7117117117117117,0.35267857142857145,0.8104154665898617,COMPLETE
49,49,0.0,2024-08-03 14:37:56.042106,2024-08-03 14:37:56.510035,0 days 00:00:00.467929,1.285893769369417e-07,0.9890946825418663,2.944409800837513e-07,4.4278807768527216e-05,0.00030010677653761293,12,5,0.43385202756980595,0.7345971563981043,0.0,0.0,0.0,0.8222746255760369,COMPLETE
50,50,0.20734814911366006,2024-08-03 14:37:56.510428,2024-08-03 14:37:57.143947,0 days 00:00:00.633519,7.663175916219327e-07,0.9616661277189097,2.200012929922892e-08,0.002485322486939624,0.02588650004324183,10,2,0.564689320312242,0.7654028436018957,0.2773722627737226,0.76,0.16964285714285715,0.8085073444700461,COMPLETE
51,51,0.5226304945054945,2024-08-03 14:37:57.144324,2024-08-03 14:37:57.732585,0 days 00:00:00.588261,0.0011366648519261398,0.8881232944356715,1.9824133241160002e-06,1.088439904430745e-07,0.09821095205817917,11,3,0.5902931781221079,0.7772511848341233,0.548076923076923,0.59375,0.5089285714285714,0.8135548675115207,COMPLETE
52,52,0.49932055186415647,2024-08-03 14:37:57.732976,2024-08-03 14:37:58.269173,0 days 00:00:00.536197,5.142479538860884e-08,0.9344486780220838,5.790382453339982e-07,1.0328799764705049e-08,0.06977373892017158,11,5,0.6373668844209113,0.792654028436019,0.5478036175710593,0.6503067484662577,0.4732142857142857,0.8208633352534561,COMPLETE
53,53,0.4814366883116883,2024-08-03 14:37:58.270122,2024-08-03 14:37:58.660503,0 days 00:00:00.390381,0.00534729763794807,0.5333713361944451,1.4803098180047376,1.2002542363600711e-06,0.07588101332856026,12,6,0.5369087149407226,0.7855450236966824,0.5298701298701298,0.6335403726708074,0.45535714285714285,0.8273005472350231,COMPLETE
54,54,0.38578689759036144,2024-08-03 14:37:58.660893,2024-08-03 14:37:59.122012,0 days 00:00:00.461119,1.986727310612216e-05,0.7451897596244665,3.9368978848501135e-06,5.972277028915455e-07,0.048299954419593616,12,7,0.6143593730806656,0.7890995260663507,0.463855421686747,0.7129629629629629,0.34375,0.8297199020737327,COMPLETE
55,55,0.5222506800631801,2024-08-03 14:37:59.122437,2024-08-03 14:37:59.563571,0 days 00:00:00.441134,0.0002630456624701866,0.7886830180605231,1.715651840086294e-07,2.3917550959388886e-07,0.09815643640429732,11,9,0.7198458468907191,0.7855450236966824,0.5552825552825553,0.6174863387978142,0.5044642857142857,0.82166258640553,COMPLETE
56,56,0.31976902173913047,2024-08-03 14:37:59.563975,2024-08-03 14:38:00.202937,0 days 00:00:00.638962,0.0006865946804829062,0.8289963859282319,5.842813207297695e-08,0.11522229218813941,0.041028451379245955,10,4,0.7616633271370767,0.7677725118483413,0.391304347826087,0.6428571428571429,0.28125,0.8159706221198157,COMPLETE
57,57,0.5046897045855379,2024-08-03 14:38:00.203907,2024-08-03 14:38:00.826796,0 days 00:00:00.622889,2.3084183173678017e-06,0.8651528486073266,8.089079351883027e-06,4.250861923631478e-06,0.07440173493105841,11,5,0.9943412798907769,0.7784360189573459,0.5382716049382715,0.6022099447513812,0.48660714285714285,0.8082841301843318,COMPLETE
58,58,0.0,2024-08-03 14:38:00.827179,2024-08-03 14:38:01.152478,0 days 00:00:00.325299,0.0001212702782242522,0.8991479807663397,0.038808787745312434,3.050314978463562e-08,0.021826123414951312,6,8,0.6861566369598657,0.7345971563981043,0.0,0.0,0.0,0.8252808179723502,COMPLETE
59,59,0.0,2024-08-03 14:38:01.152892,2024-08-03 14:38:01.434445,0 days 00:00:00.281553,0.013262617798544294,0.46920889628108653,2.1673250343936195e-08,1.2833978648054584e-07,0.014067519042466569,5,6,0.6498259520753948,0.7345971563981043,0.0,0.0,0.0,0.8290754608294931,COMPLETE
60,60,0.3989174752270851,2024-08-03 14:38:01.434855,2024-08-03 14:38:01.788371,0 days 00:00:00.353516,1.4079316741324373e-05,0.9710801061583798,1.9844710031513578e-06,0.0003432920112887386,0.05197315213197949,9,7,0.4028048917810221,0.7819905213270142,0.4682080924855492,0.6639344262295082,0.36160714285714285,0.8257128456221198,COMPLETE
61,61,0.49171040076335876,2024-08-03 14:38:01.789331,2024-08-03 14:38:02.310671,0 days 00:00:00.521340,9.885917450165568e-06,0.8624346196427715,1.3382714901918774e-07,0.006306003024532209,0.08173917684742633,12,6,0.7340417156302159,0.783175355450237,0.5343511450381679,0.621301775147929,0.46875,0.8232502880184331,COMPLETE
62,62,0.49882639911634763,2024-08-03 14:38:02.311059,2024-08-03 14:38:02.849989,0 days 00:00:00.538930,3.462677487549138e-06,0.8729083174274932,4.1653317977989413e-07,5.389851098130705e-08,0.08209856516377163,12,6,0.7753634349232212,0.7914691943127962,0.5463917525773196,0.6463414634146342,0.4732142857142857,0.8212017569124423,COMPLETE
63,63,0.5290937066574202,2024-08-03 14:38:02.850396,2024-08-03 14:38:03.365965,0 days 00:00:00.515569,5.971534173936753e-07,0.8351830339884737,7.319443520573339e-08,0.017467883579886854,0.09981087550695271,11,4,0.5751375075708876,0.7843601895734598,0.558252427184466,0.6117021276595744,0.5133928571428571,0.8152937788018433,COMPLETE
64,64,0.0,2024-08-03 14:38:03.366346,2024-08-03 14:38:03.941930,0 days 00:00:00.575584,6.953798937627143e-05,0.9468864797481229,1.7899728798015533e-07,0.0013200011184771095,0.0009222305322511223,12,5,0.7148124343923331,0.7345971563981043,0.0,0.0,0.0,0.8172487039170506,COMPLETE
65,65,0.46019305019305023,2024-08-03 14:38:03.942910,2024-08-03 14:38:04.463151,0 days 00:00:00.520241,1.991941542448155e-07,0.9222077472032226,8.9681388445478e-07,0.1472929991332506,0.061258761920592424,11,7,0.8560892068087047,0.7890995260663507,0.518918918918919,0.6575342465753424,0.42857142857142855,0.8185483870967741,COMPLETE
66,66,0.31181206088992974,2024-08-03 14:38:04.463587,2024-08-03 14:38:04.816854,0 days 00:00:00.353267,0.002960508613568868,0.807010414886471,3.2789971923332396e-08,0.0004971141081428839,0.03793956429118318,10,9,0.48917172146812704,0.7808056872037915,0.39344262295081966,0.7407407407407407,0.26785714285714285,0.82826900921659,COMPLETE
67,67,0.4156798245614035,2024-08-03 14:38:04.817256,2024-08-03 14:38:05.294873,0 days 00:00:00.477617,1.3543819415288748e-06,0.756233080470802,5.755969695789678e-07,0.06938794247177353,0.0480962459923974,11,6,0.6632614981418661,0.7938388625592417,0.4912280701754387,0.711864406779661,0.375,0.8239379320276498,COMPLETE
68,68,0.47152572168763884,2024-08-03 14:38:05.295261,2024-08-03 14:38:05.782991,0 days 00:00:00.487730,0.00040662482910281306,0.8822939212528085,4.297522272441837e-06,0.003714509433226482,0.07776199897601112,12,5,0.5531239914688173,0.7796208530805687,0.5181347150259068,0.6172839506172839,0.44642857142857145,0.8233438940092166,COMPLETE
69,69,0.4606852497096399,2024-08-03 14:38:05.783972,2024-08-03 14:38:06.168877,0 days 00:00:00.384905,2.5203190264416854e-08,0.634782146951284,1.3693804797607885e-06,0.0001492888055733362,0.06277973237012803,10,8,0.5199304450895299,0.7902843601895735,0.5203252032520325,0.6620689655172414,0.42857142857142855,0.8255868375576036,COMPLETE
70,70,0.0,2024-08-03 14:38:06.169275,2024-08-03 14:38:06.617472,0 days 00:00:00.448197,0.00015480508830010092,0.8489000414080567,9.386866215293431e-08,0.8355306193703227,0.00011642955014065794,11,4,0.44882573826798433,0.7345971563981043,0.0,0.0,0.0,0.8209569412442397,COMPLETE
71,71,0.5546024921024921,2024-08-03 14:38:06.617864,2024-08-03 14:38:07.167889,0 days 00:00:00.550025,4.5363292805129067e-05,0.7989549672203652,2.310666851494349e-07,3.8298636204497e-08,0.0980043455465747,10,4,0.7460699395377213,0.8021327014218009,0.5896805896805897,0.6557377049180327,0.5357142857142857,0.8243051555299539,COMPLETE
72,72,0.48797927057356605,2024-08-03 14:38:07.168288,2024-08-03 14:38:07.700605,0 days 00:00:00.532317,3.541564835307607e-05,0.7736693132070053,2.2922652015986238e-07,1.7938411227022697e-08,0.08576532059444544,10,5,0.8003314581439083,0.773696682464455,0.5236907730673317,0.5932203389830508,0.46875,0.8141417050691245,COMPLETE
73,73,0.2604633620689655,2024-08-03 14:38:07.701466,2024-08-03 14:38:08.290527,0 days 00:00:00.589061,8.555325918003626e-06,0.8243074259755901,4.6137120771459584e-07,3.5642063084725886e-07,0.03062069975521306,8,1,0.7494144201608991,0.7725118483412322,0.33793103448275863,0.7424242424242424,0.21875,0.8215437788018434,COMPLETE
74,74,0.4235227728731943,2024-08-03 14:38:08.290889,2024-08-03 14:38:08.996809,0 days 00:00:00.705920,9.282736731219948e-05,0.9073715143895275,1.3053755220411926e-07,6.948381227164505e-08,0.05565786973811469,12,3,0.7289413704859798,0.7843601895734598,0.4887640449438203,0.6590909090909091,0.38839285714285715,0.8141993087557604,COMPLETE
75,75,0.5310092787114846,2024-08-03 14:38:08.997157,2024-08-03 14:38:09.553785,0 days 00:00:00.556628,1.579050580851562e-05,0.8545687870999504,3.190947726391471e-08,0.012825910492963825,0.08316878993161005,11,4,0.6949126151665251,0.7890995260663507,0.5637254901960784,0.625,0.5133928571428571,0.8146061347926269,COMPLETE
