,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,state
43,43,0.8451711070280202,2024-08-01 08:41:08.620757,2024-08-01 08:41:12.907353,0 days 00:00:04.286596,0.8848903509439436,133,9,5.358026370267911e-07,0.007382703826417742,0.3341199110056282,COMPLETE
44,44,0.8452213481855765,2024-08-01 08:41:12.907820,2024-08-01 08:41:21.480231,0 days 00:00:08.572411,0.6984874984192555,80,10,0.005012464002456936,0.004301308192522511,0.04469361495805909,COMPLETE
45,45,0.8437464113458888,2024-08-01 08:41:21.480594,2024-08-01 08:41:23.076412,0 days 00:00:01.595818,0.8312247870233025,178,8,2.2519220960659344e-06,0.0015058063786333518,0.09973052114358899,COMPLETE
46,46,0.8465419728984842,2024-08-01 08:41:23.076754,2024-08-01 08:41:25.375187,0 days 00:00:02.298433,0.9481512569805697,114,7,1.6718530690882096e-05,0.011648352127908176,0.16990058929475962,COMPLETE
47,47,0.842974850711989,2024-08-01 08:41:25.375559,2024-08-01 08:41:27.359706,0 days 00:00:01.984147,0.9516796746521896,116,6,6.700083206122942e-05,0.013330956508815706,0.18326171410106928,COMPLETE
48,48,0.8448409508497933,2024-08-01 08:41:27.360056,2024-08-01 08:41:28.676768,0 days 00:00:01.316712,0.7841044824403421,195,5,2.343142362343968e-05,0.02867510571708555,0.3686068554943395,COMPLETE
49,49,0.8441770498392283,2024-08-01 08:41:28.677119,2024-08-01 08:41:30.006696,0 days 00:00:01.329577,0.9359080435264318,220,7,7.740660509717372e-07,0.016999976243489253,0.5698860645568068,COMPLETE
50,50,0.8444964400551219,2024-08-01 08:41:30.007065,2024-08-01 08:41:31.007250,0 days 00:00:01.000185,0.6668880195054174,159,6,2.251600234080271e-07,0.006473939223721475,0.24255659175328453,COMPLETE
51,51,0.8466352779053743,2024-08-01 08:41:31.007639,2024-08-01 08:41:33.211904,0 days 00:00:02.204265,0.8869934024511109,241,8,1.2769930857200356e-05,0.0042709785684460514,0.16818191486592135,COMPLETE
52,52,0.8478554203031696,2024-08-01 08:41:33.212257,2024-08-01 08:41:35.227960,0 days 00:00:02.015703,0.8613950247943657,240,7,3.262246656544603e-06,0.011393439222420474,0.1731841728820584,COMPLETE
53,53,0.8434700849793294,2024-08-01 08:41:35.228302,2024-08-01 08:41:36.636663,0 days 00:00:01.408361,0.8577946640355089,239,7,4.081961913102654e-06,0.01045752508128925,0.1795926758469064,COMPLETE
54,54,0.8473960725769407,2024-08-01 08:41:36.637011,2024-08-01 08:41:40.033142,0 days 00:00:03.396131,0.8402631061726598,105,8,1.9309367478774126e-05,0.007695269577901487,0.09312645234596292,COMPLETE
55,55,0.847245349104272,2024-08-01 08:41:40.033526,2024-08-01 08:41:43.535297,0 days 00:00:03.501771,0.7525275636376194,238,9,8.856056349211977e-05,0.007971979073344711,0.09806091619189289,COMPLETE
56,56,0.8471233348644924,2024-08-01 08:41:43.535762,2024-08-01 08:41:50.087398,0 days 00:00:06.551636,0.7573943353890555,244,10,0.0007479892629703878,0.007380398669053886,0.08950782285937402,COMPLETE
57,57,0.846649632521819,2024-08-01 08:41:50.087745,2024-08-01 08:41:55.725810,0 days 00:00:05.638065,0.7548650405584487,240,10,0.0007588551305008833,0.007394341588701586,0.0908700061095396,COMPLETE
58,58,0.843886368856224,2024-08-01 08:41:55.726162,2024-08-01 08:42:01.017791,0 days 00:00:05.291629,0.8280789698347825,255,9,0.005535723454076202,0.005691348793390511,0.0607201018177861,COMPLETE
59,59,0.8423647795130914,2024-08-01 08:42:01.018149,2024-08-01 08:42:16.117777,0 days 00:00:15.099628,0.5889253588671451,223,11,0.0014268753962100563,0.007800720745659581,0.27138620593014123,COMPLETE
60,60,0.8470443844740468,2024-08-01 08:42:16.118253,2024-08-01 08:42:25.439086,0 days 00:00:09.320833,0.7620080058166515,234,9,0.00010485520144998038,0.002529485075179148,0.029491209377093094,COMPLETE
61,61,0.8441806384933395,2024-08-01 08:42:25.439493,2024-08-01 08:42:28.310669,0 days 00:00:02.871176,0.755587203159831,235,9,0.000130812844652885,0.0006493522573552501,0.03292895250287905,COMPLETE
62,62,0.8450921566375746,2024-08-01 08:42:28.311013,2024-08-01 08:42:33.031767,0 days 00:00:04.720754,0.8450004869844921,246,10,4.954603705734722e-05,0.0013217649777412725,0.11374049933239071,COMPLETE
63,63,0.8467070509875977,2024-08-01 08:42:33.032116,2024-08-01 08:42:39.317761,0 days 00:00:06.285645,0.79184509194659,217,9,0.00024777232816624624,0.004974784643763546,0.07603058821343092,COMPLETE
64,64,0.8439653192466697,2024-08-01 08:42:39.318138,2024-08-01 08:42:58.745012,0 days 00:00:19.426874,0.4574847779675456,201,11,0.07840401600808745,0.002587452081085569,0.03770516917784346,COMPLETE
65,65,0.8444031350482315,2024-08-01 08:42:58.745402,2024-08-01 08:43:04.339214,0 days 00:00:05.593812,0.6496498336345431,224,10,0.0004277848619714916,0.0016351843206681073,0.02754727989032108,COMPLETE
66,66,0.8465993913642628,2024-08-01 08:43:04.339654,2024-08-01 08:43:06.696013,0 days 00:00:02.356359,0.7704879265824959,246,8,7.049730144973055e-05,0.00033570123423257386,0.015475871745049444,COMPLETE
67,67,0.844589745062012,2024-08-01 08:43:06.696385,2024-08-01 08:43:09.731090,0 days 00:00:03.034705,0.7204407185953873,232,9,5.4770485271534584e-06,0.0009347172687112617,0.053448448461163124,COMPLETE
68,68,0.8431901699586587,2024-08-01 08:43:09.731471,2024-08-01 08:43:13.231402,0 days 00:00:03.499931,0.8592285204654571,205,9,0.0032551589810687373,0.0029536966674347156,0.143236459847235,COMPLETE
69,69,0.8444605535140101,2024-08-01 08:43:13.231764,2024-08-01 08:43:15.099958,0 days 00:00:01.868194,0.9183403992074383,247,8,0.0015297264229731866,0.017046433384567152,0.025008592867266075,COMPLETE
70,70,0.8397953031694994,2024-08-01 08:43:15.100359,2024-08-01 08:43:22.266683,0 days 00:00:07.166324,0.6064855188508513,85,10,2.8493600011805353e-05,0.00608528409649519,0.798170742301161,COMPLETE
71,71,0.8437787092328893,2024-08-01 08:43:22.267062,2024-08-01 08:43:26.779573,0 days 00:00:04.512511,0.8086585513847029,230,9,0.00031029647704397935,0.005309824528500692,0.07984643176825394,COMPLETE
72,72,0.8443816031235645,2024-08-01 08:43:26.779929,2024-08-01 08:43:31.120643,0 days 00:00:04.340714,0.7953801097785376,224,9,0.018686134248838013,0.004246648498811408,0.10683597828562748,COMPLETE
73,73,0.8443313619660082,2024-08-01 08:43:31.120999,2024-08-01 08:43:33.715771,0 days 00:00:02.594772,0.7259135339352916,215,8,0.00033248491023095866,0.010150249919263821,0.07097639543770819,COMPLETE
74,74,0.8431829926504364,2024-08-01 08:43:33.716127,2024-08-01 08:43:42.018033,0 days 00:00:08.301906,0.38657249189903625,217,10,9.300567444691556e-05,0.003558337159134285,0.05095651602897289,COMPLETE
75,75,0.8462189940284796,2024-08-01 08:43:42.018429,2024-08-01 08:43:45.716525,0 days 00:00:03.698096,0.9791738723746541,202,9,0.00019400018138854364,0.007467313687796417,0.08341237743049672,COMPLETE
76,76,0.8440945107946716,2024-08-01 08:43:45.716890,2024-08-01 08:43:48.005151,0 days 00:00:02.288261,0.6766744118131037,236,8,1.7732692608951295e-06,0.02135074114848084,0.038180924183223934,COMPLETE
77,77,0.8460539159393661,2024-08-01 08:43:48.005554,2024-08-01 08:43:51.954004,0 days 00:00:03.948450,0.5544165096037696,187,9,0.0015147883690358485,0.004892068357204685,0.018492348481768832,COMPLETE
78,78,0.8469439021589343,2024-08-01 08:43:51.954400,2024-08-01 08:43:57.742552,0 days 00:00:05.788152,0.8667403579019467,211,10,3.128011021581686e-05,0.015149308511528712,0.06484160050910423,COMPLETE
79,79,0.8393574873679375,2024-08-01 08:43:57.742907,2024-08-01 08:44:09.607666,0 days 00:00:11.864759,0.8560778397274965,178,11,3.5733243701456115e-05,0.014422250944499955,0.0027815264129868425,COMPLETE
80,80,0.8367736564079007,2024-08-01 08:44:09.608039,2024-08-01 08:44:13.001225,0 days 00:00:03.393186,0.7306691544954158,104,10,1.9387508999393926e-05,0.024370002148592435,0.14515584232312823,COMPLETE
