,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
32,32,0.6339942226890756,2024-08-03 15:12:34.725290,2024-08-03 15:12:46.975453,0 days 00:00:12.250163,104,0.33837244248767606,0.4568142552178532,0.00039988285308171514,119,120,0.7796208530805687,0.6092436974789915,0.5753968253968254,0.6473214285714286,0.8401137672811061,COMPLETE
33,33,0.626985773562537,2024-08-03 15:12:46.975812,2024-08-03 15:12:58.647623,0 days 00:00:11.671811,113,0.21317324006601515,0.49769049259258463,0.000606808777218353,104,64,0.7701421800947867,0.5975103734439834,0.5581395348837209,0.6428571428571429,0.8403729838709676,COMPLETE
34,34,0.6417593676814989,2024-08-03 15:12:58.647950,2024-08-03 15:13:09.548047,0 days 00:00:10.900097,128,0.3203325390235043,0.46788510799491895,0.00037941107654963796,326,164,0.7725118483412322,0.6065573770491803,0.5606060606060606,0.6607142857142857,0.8402217741935483,COMPLETE
35,35,0.6205008221168553,2024-08-03 15:13:09.548400,2024-08-03 15:13:21.661921,0 days 00:00:12.113521,63,0.3695482799686601,0.4322023745791056,0.0004655253818904546,373,230,0.7808056872037915,0.6038543897216274,0.5802469135802469,0.6294642857142857,0.8426051267281107,COMPLETE
36,36,0.5949931318681319,2024-08-03 15:13:21.662272,2024-08-03 15:13:32.997650,0 days 00:00:11.335378,75,0.3488131746085336,0.3545597833424143,0.0007236270601895826,226,108,0.7784360189573459,0.589010989010989,0.5800865800865801,0.5982142857142857,0.8380184331797236,COMPLETE
37,37,0.6400479771784232,2024-08-03 15:13:32.998013,2024-08-03 15:13:44.404149,0 days 00:00:11.406136,87,0.2987236836334569,0.36755192903639244,0.0014506419311615508,37,72,0.7772511848341233,0.6099585062240663,0.5697674418604651,0.65625,0.8403441820276497,COMPLETE
38,38,0.6025031191515908,2024-08-03 15:13:44.404538,2024-08-03 15:13:58.162183,0 days 00:00:13.757645,106,0.3953108545612126,0.40952353317588885,0.00015601979514488415,74,135,0.7796208530805687,0.5938864628820961,0.5811965811965812,0.6071428571428571,0.8444988479262673,COMPLETE
39,39,0.6226467917675544,2024-08-03 15:13:58.162526,2024-08-03 15:14:10.242640,0 days 00:00:12.080114,99,0.2694022326541435,0.47786010476637886,0.00023730456533216262,195,202,0.7772511848341233,0.6016949152542374,0.5725806451612904,0.6339285714285714,0.835879896313364,COMPLETE
40,40,0.5755287992190042,2024-08-03 15:14:10.243004,2024-08-03 15:14:22.018250,0 days 00:00:11.775246,117,0.2482820067525325,0.3902585951092342,0.008571032288734126,422,346,0.783175355450237,0.5831435079726651,0.5953488372093023,0.5714285714285714,0.8359158986175115,COMPLETE
41,41,0.6543250620800467,2024-08-03 15:14:22.018645,2024-08-03 15:14:34.830084,0 days 00:00:12.811439,91,0.3412735004986742,0.4980633809900979,0.0004968701275205891,158,114,0.7784360189573459,0.6175869120654397,0.569811320754717,0.6741071428571429,0.8382056451612903,COMPLETE
42,42,0.6038736263736264,2024-08-03 15:14:34.830453,2024-08-03 15:14:47.313911,0 days 00:00:12.483458,80,0.32656573773841063,0.4782829354965242,0.0009285147837015435,141,94,0.783175355450237,0.5978021978021978,0.5887445887445888,0.6071428571428571,0.8416978686635945,COMPLETE
43,43,0.6069046996413628,2024-08-03 15:14:47.314257,2024-08-03 15:14:59.901084,0 days 00:00:12.586827,93,0.30757271919256396,0.4533303604860691,0.0003131568340265595,66,96,0.7630331753554502,0.5815899581589958,0.547244094488189,0.6205357142857143,0.8392497119815667,COMPLETE
44,44,0.6727740330321852,2024-08-03 15:14:59.901468,2024-08-03 15:15:12.372737,0 days 00:00:12.471269,101,0.365116591113981,0.47278508256071694,0.0006081456623602602,313,48,0.7725118483412322,0.6205533596837944,0.5567375886524822,0.7008928571428571,0.8390769009216589,COMPLETE
45,45,0.6642036631846414,2024-08-03 15:15:12.373109,2024-08-03 15:15:23.333272,0 days 00:00:10.960163,112,0.36203885224052484,0.4257275393230748,0.0012006270506237811,354,54,0.7677725118483413,0.6126482213438734,0.549645390070922,0.6919642857142857,0.8381336405529953,COMPLETE
46,46,0.6462006873879259,2024-08-03 15:15:23.333657,2024-08-03 15:15:33.944466,0 days 00:00:10.610809,122,0.3622213517711218,0.4229951215965251,0.0017365891109107857,357,43,0.7843601895734598,0.6192468619246861,0.5826771653543307,0.6607142857142857,0.8421226958525345,COMPLETE
47,47,0.6374682456664674,2024-08-03 15:15:33.944811,2024-08-03 15:15:44.778110,0 days 00:00:10.833299,109,0.40124118204424647,0.37694579818885415,0.0012024054340825955,312,62,0.7796208530805687,0.610878661087866,0.5748031496062992,0.6517857142857143,0.8412514400921659,COMPLETE
48,48,0.6029579556111284,2024-08-03 15:15:44.778461,2024-08-03 15:15:55.592362,0 days 00:00:10.813901,112,0.3779130967825407,0.39777653974699373,0.0023270856909216055,269,52,0.7808056872037915,0.5951859956236324,0.5836909871244635,0.6071428571428571,0.8374639976958524,COMPLETE
49,49,0.5980729491578289,2024-08-03 15:15:55.592807,2024-08-03 15:16:07.419326,0 days 00:00:11.826519,102,0.4309951886269287,0.4292080342018831,0.0008231204103360726,389,433,0.7772511848341233,0.5895196506550218,0.5769230769230769,0.6026785714285714,0.8368159562211981,COMPLETE
50,50,0.6633408634538153,2024-08-03 15:16:07.419713,2024-08-03 15:16:18.705701,0 days 00:00:11.285988,124,0.46651356236760144,0.30816955665253537,0.0012945270229046803,350,42,0.7748815165876777,0.6184738955823292,0.5620437956204379,0.6875,0.8382344470046081,COMPLETE
