,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_accuracy,user_attrs_f1,user_attrs_recall,user_attrs_roc,state
36,36,0.5871316712350855,2024-08-03 10:40:22.026032,2024-08-03 10:40:22.908441,0 days 00:00:00.882409,0.5154934899290867,4,0.6702714460053777,0.01059999015151845,1.4128938544950827e-06,0.019750599604131242,4,23,150,0.7855450236966824,0.5914221218961625,0.5848214285714286,0.8332733294930876,COMPLETE
37,37,0.5584484308597581,2024-08-03 10:40:22.908768,2024-08-03 10:40:24.453014,0 days 00:00:01.544246,0.7300758169222438,7,0.6220284200498333,0.0006797196652820008,3.451538083057882e-07,0.06329482703135023,7,56,113,0.7760663507109005,0.5675057208237987,0.5535714285714286,0.829133064516129,COMPLETE
38,38,0.6008118678887484,2024-08-03 10:40:24.453367,2024-08-03 10:40:26.056371,0 days 00:00:01.603004,0.8111763528196295,1,0.43767720391546266,0.06497897286717423,2.353200990311771e-08,0.03142076768187637,5,92,143,0.7843601895734598,0.5973451327433628,0.6026785714285714,0.8379248271889401,COMPLETE
39,39,0.5604657421479231,2024-08-03 10:40:26.056816,2024-08-03 10:40:26.878529,0 days 00:00:00.821713,0.585766130623188,3,0.8223535819465462,0.0023074018543085455,2.659886396142679e-06,0.01264258314703417,4,76,125,0.7902843601895735,0.5815602836879433,0.5491071428571429,0.8329349078341013,COMPLETE
40,40,0.5804947407045009,2024-08-03 10:40:26.878863,2024-08-03 10:40:27.447800,0 days 00:00:00.568937,0.43826936741972927,4,0.7377042490514032,8.46558955640775,3.653453745987153e-08,0.019661319974723753,3,67,102,0.7867298578199052,0.5890410958904109,0.5758928571428571,0.8280817972350232,COMPLETE
41,41,0.5936427791640674,2024-08-03 10:40:27.448202,2024-08-03 10:40:28.047451,0 days 00:00:00.599249,0.6632022461600142,2,0.5731227462632462,0.016744623447079457,5.077026646082572e-07,0.0635928674838583,3,109,72,0.7748815165876777,0.5851528384279475,0.5982142857142857,0.8372191820276497,COMPLETE
42,42,0.5998908511642542,2024-08-03 10:40:28.047872,2024-08-03 10:40:28.677555,0 days 00:00:00.629683,0.768238220039956,1,0.6673434273107315,0.1942501852605131,1.88797092822895e-05,0.07090821026384757,3,129,56,0.7819905213270142,0.5947136563876652,0.6026785714285714,0.8369239631336406,COMPLETE
43,43,0.0,2024-08-03 10:40:28.677925,2024-08-03 10:40:29.538523,0 days 00:00:00.860598,0.7154640581405394,3,0.5141147281810646,0.0001915961472903856,1.8696996000068848e-07,0.0017121010723277024,4,42,135,0.7345971563981043,0.0,0.0,0.8312536002304146,COMPLETE
44,44,0.5897471236816875,2024-08-03 10:40:29.538872,2024-08-03 10:40:30.324757,0 days 00:00:00.785885,0.6012899131420485,2,0.4715647895937943,1.119412816546362e-05,7.569855508433796e-07,0.09801902372291252,5,148,55,0.783175355450237,0.5906040268456376,0.5892857142857143,0.8359230990783411,COMPLETE
45,45,0.6012754394995248,2024-08-03 10:40:30.325127,2024-08-03 10:40:31.356119,0 days 00:00:01.030992,0.6394377617351974,1,0.5854260498249348,8.268866730205035e-08,4.054513837358404e-06,0.04305703462116424,6,115,83,0.7855450236966824,0.5986696230598669,0.6026785714285714,0.8365783410138249,COMPLETE
